pto_no,pto_name,permit_id,is_intercity,route_text
NTSA/RSN-9870,BYBUSS TRANS LIMITED,NTR-00202102051436280,False,"Thika (makongeni), Kiambu ruaka gachie wangige nyathuna ngecha kabuku limuru kikuyu kangemi kawangware dagoretti corner& market karen bomas ngong, Kiserian"
NTSA/RSN-9870,BYBUSS TRANS LIMITED,ADR-BQ9SMJB,False,"Khoja via Ngara Rd, WestlandsWangige via Lower Kabete RdNyathunaNgechaKabuku, Limuru"
NTSA/RSN-9870,BYBUSS TRANS LIMITED,ADR-REOSYWM,False,"Khoja, Ngara Westlands kangemi wangige nyathuna gachie ngecha kabuku ruaka Kikuyu limuru kiambu ruiru, Thika(makongeni)"
NTSA/RSN-9870,BYBUSS TRANS LIMITED,ADR-MDMSEYL,False,"Thika (makongeni), Kiambu ruakagachie wangige nyathuna ngecha kabuku limuru kangemi Dagoretti ngong, Kiserian, 8Ngara;Westlands,Ruaka,Gachie,Ngecha,Banana,Kiambu,Limuru,Kikuyu,Kangemi,Dagoret,Karen,Boma,Ngong - Kiserian and back"
NTSA/RSN-0053,CBET SACCO,NTR-00202012111552070,False,"Gillhouse, Jogoo rd Buruburu Outering rd Kangundo rd, Koma bus park"
NTSA/RSN-0053,CBET SACCO,NTR-00202012111553240,True,"Gillhouse, Mombasa rd Athi river, Machakos"
NTSA/RSN-0053,CBET SACCO,NTR-00202104141523000,False,"kyumbi, malili, konza city"
NTSA/RSN-0053,CBET SACCO,NTR-00202104141524480,False,"kenol, njumbi murarandaia githiga, kiria-ini"
NTSA/RSN-0053,CBET SACCO,NTR-0063,True,"Gillhouse, MuthurwaJogoo roadBuruburu civil servant outering rd komarock bus park mombasa rd athi river machakos kyumbi malili murarandia githiga njumbi konza city kenol kangundo rd, kiria-ini"
NTSA/RSN-0053,CBET SACCO,ADR-A5AC86D,True,"gillhouse, muthurwa,jogoo road,buruburu,civil servant,Outering rd,Komarock Bus Park,Mombasa rd,Athiriver,Machakos,Kyumbi,Malili,Murarandi,Githiga, Kiria-ini"
NTSA/RSN-0053,CBET SACCO,ADR-9AKFR5P,False,"gillhouse, civilservant,muthurwa,jogoo road, buruburu"
NTSA/RSN-0053,CBET SACCO,ADR-DB3TOWP,False,"gillhouse, muthurwa,jogoo road,buruburu, civilservant"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,NTR-0053,True,"nairobi, thika,matuu,kitui, mwingi"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,NTR-00182,True,"nairobi, thika, nyeri"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,NTR-00183,True,"nairobi, thika nyeri nyahururu, nakuru"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,NTR-00236,True,"nairobi, thika,nyeri,nyahururu, nakuru"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,NTR-00142,True,"nairobi, thika road,thika, nyeri"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,NTR-00519,True,"nairobi, thika,matuu, mwingi"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,NTR-00567,True,"Nairobi, Thika Gatura Olkalou Nyahururu Nakuru, Eldoret"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,NTR-00917,True,"Nairobi, Thika Nyeri Nyahururu Nakuru, Eldoret"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,NTR-001007,True,"Nairobi, Ruiru Thika Odonyo Sabuk Matuu Kitui Mwingi Igikiro gatura Flyover Olkalou Nyahururu Nyeri Embu Meru Nakuru, Eldoret"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,NTR-001285,True,"Nairobi, Eastleigh Outering Rd Eastern Bypass Mombasa Rd Matuu Kitui Mwigi Oldonyo sabuk Thika Ruiru Igikiro Gatura Flyover Olkalou Nyahururu Nyeri Meru Nakuru, Eldoret"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,NTR-001145,True,"nairobi, thika, nyeri, meru"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,ADR-Q5LCLAM,True,"nairobi, thika, flyover, nakuru"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,ADR-EPJSJ6A,True,"thika, flyover, nakuru"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,ADR-2DVSB6R,True,"nairobi, mwingi,thika,matuu, kitui"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,ADR-K9BFBOV,True,"nairobi, nyeri, thika"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,ADR-7WRS2W2,True,"nairobi, thika,nyeri, embu"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,ADR-BQ9SZE5,True,"nairobi, nyeri,thika road, thika"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,ADR-REOSOMB,True,"nairobi, mwingi,thika, matuu"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,ADR-MDMSM85,True,"thika, nakuru, flyover"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,ADR-YM3SLQD,True,"nairobi, meru, embu"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,ADR-8LMSOPW,True,"nairobi, thika, nyeri, nyahururu, nakuru"
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,ADR-ZZJSZDW,True,"nairobi, nakuru, nyeri"
NTSA/RSN-041811,CHELSEA TRANSPORTERS LIMITED,NTR-00202211011801400,False,"Commercial, Bus Station Thika Rd Zimmerman Githurai 44 Kahawa West Ruiru Ruaka Limuru Juja, Juja Farm"
NTSA/RSN-041811,CHELSEA TRANSPORTERS LIMITED,NTR-00202211071700350,False,"Commercial, Bus Station Thika Rd Zimmerman Githurai 44 Northern Bypass Ruiru Ruaka Kikuyu via Waiyaki Way Limuru Juja, Juja Farm"
NTSA/RSN-041811,CHELSEA TRANSPORTERS LIMITED,ADR-8LMS57A,False,"ngara(figtree), githurai44, kahawa west, Commercial"
