pto_no,sacco_clean,route_hints,pto_name_raw,declared_routes,parsed_routes_count
NTSA/RSN-019122,Sony Classic Shuttle East Africa,,SONY CLASSIC SHUTTLE EAST AFRICA LIMITED,3,3
NTSA/RSN-0566,South B Society,,SOUTH B MATATU OWNERS SACCO SOCIETY LTD,6,6
NTSA/RSN-02030,Southleigh S,,SOUTHLEIGH S LIMITED,3,3
NTSA/RSN-8117,Southleigh,,SOUTHLEIGH SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED,3,3
NTSA/RSN-5361,Sowetamu,,SOWETAMU TRAVELLERS SACCO,5,5
NTSA/RSN-0572,St. Marys Transport Society,,ST. MARYS TRANSPORT SACCO SOCIETY,9,9
NTSA/RSN-0573,Stahito Commuter Services CO,,STAHITO  COMMUTER  SERVICES CO. LIMITED,7,7
NTSA/RSN-0574,Starbus Company (k),,STARBUS COMPANY (K) LTD,11,11
NTSA/RSN-01754,Summa Transporters,,SUMMA TRANSPORTERS SACCO LIMITED,2,2
NTSA/RSN-0579,Sunbird Services,,SUNBIRD SERVICES LTD,7,7
NTSA/RSN-0580,Super Highway 45 Society,45,SUPER HIGHWAY 45 SACCO SOCIETY LTD,9,9
NTSA/RSN-0581,Super Metro,,SUPER METRO LIMITED,12,12
NTSA/RSN-0322,Super Tram,,SUPER TRAM LIMITED,7,7
NTSA/RSN-01355,Surmount Shuttle,,SURMOUNT SHUTTLE LIMITED,2,2
NTSA/RSN-0592,Tawala Shuttle,,tawala shuttle limited,4,4
NTSA/RSN-01725,Telaviv,,TELAVIV TRAVELLERS LIMITED,9,9
NTSA/RSN-0605,Thomat Savings AND Credit Copperative Society,,THOMAT SAVINGS AND CREDIT COPPERATIVE SOCIETY LIMITED,9,9
NTSA/RSN-01757,Tikagi,,TIKAGI SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED,6,6
NTSA/RSN-0610,Transnomics Company,,TRANSNOMICS COMPANY LIMITED,5,5
NTSA/RSN-01718,Transworld Transport,,TRANSWORLD TRANSPORT SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,7,7
NTSA/RSN-0613,Travel Mart,,TRAVEL MART LIMITED,3,3
NTSA/RSN-01750,Ukakina Society,,UKAKINA MATATU OWNERS SACCO SOCIETY LTD,1,1
NTSA/RSN-5948,Ummoinner Class,,UMMOINNER CLASS LIMITED,4,3
NTSA/RSN-0620,Umoinner,,UMOINNER SACCO LTD,12,12
NTSA/RSN-0621,Umoja Innercore Tena,,UMOJA INNERCORE TENA MATATU OWNERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,6,6
NTSA/RSN-0623,Unified International,,UNIFIED INTERNATIONAL LIMITED,9,9
NTSA/RSN-1901,Unimax Classic,,UNIMAX CLASSIC TRAVELLERS SACCO,4,4
NTSA/RSN-0625,Utawala By-pass,,UTAWALA BY-PASS TRAVELLERS SACCO,8,8
NTSA/RSN-01745,Virginia Coach Enterprise,,VIRGINIA COACH ENTERPRISE LIMITED,3,3
NTSA/RSN-0632,Wakimali CO,,WAKIMALI TRAVELLERS CO. LIMITED,10,10
NTSA/RSN-0633,Walokana,,WALOKANA MULTIPURPOSE CO-OPERATIVE SOCIETY LTD,5,5
NTSA/RSN-02044,Wanjo Patrames Travel Company,,WANJO PATRAMES TRAVEL COMPANY LIMITED,3,3
NTSA/RSN-0716,Welkan 48 Society,48,WELKAN 48 TRAVELLERS SACCO SOCIETY LTD,3,3
NTSA/RSN-02057,Welkan,,WELKAN TRAVELLERS SERVICES LIMITED,2,2
NTSA/RSN-0641,West Madaraka Route 14 Cooperative,14,WEST MADARAKA ROUTE 14 COOPERATIVE SACCO.,4,4
NTSA/RSN-2704,ZAM ZAM Fourty Five,,zam zam fourty five limited,8,8
NTSA/RSN-0655,Zuri Genesis,,ZURI GENESIS CO. LIMITED,7,7
