route,corridor,from_terminus,to_terminus,stages,already_done,known_terminals,known_saccos,researched_terminal,researched_saccos,research_confidence,YOUR_TERMINAL,YOUR_SACCOS
25A,thika_road,25A Terminal,Lucky Summer Terminal,26,,,,Commercial | Fig Tree | Gikomba | Odeon | Otc,"Baba Dogo 25, Lopha, Neema Agency, Kariobangi",high,,
44G,thika_road,Main Stage,Main Stage,31,,,,Bus Station | Commercial | Fig Tree | Kencom | Knh | Odeon | Otc,"Nazigi, Lopha, Nakathi, Rukagina 44",high,,
44Z,thika_road,Main Stage,Main Stage,23,,,,Fig Tree | Odeon,Lopha,medium,,
45G,thika_road,Main Stage,Gihurai,13,,,,Fig Tree | Otc | Railways,"Githurai 45, Super Highway 45 Society, Tikagi, Gikakuru",high,,
45K,thika_road,Main Stage,KU,21,,,,Fig Tree | Otc | Railways,"Githurai 45, Super Highway 45 Society, Tikagi, Gikakuru",high,,
29/30,thika_road,Ngara Bus Terminals,Mathare North Terminal,11,,,,Commercial | Fig Tree | Gikomba | Muthurwa,"FIG Komba, FIG Prestige Management Company, Jesmat Co-oprative, Manmo",high,,
1,,Karen Dispensary,Dagoretti Market,14,,,,,,,,
6,,Koja,Eastleigh Terminal,12,,,,,,,,
7,,Luthuli Avenue,Gikomba,4,,,,,,,,
11,,Bus Station,South B Mwisho,27,,,,Bus Station | Commercial | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"Indima (nje), Risen Company, Telaviv, Nakamata",high,,
14,,Terminal Otc,Kariobangi Terminal,19,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc,"Kariobangi, Neema Agency, Ecosa, Jonsaga Flats",high,,
20,,Mama Lucy Terminal,Mwiki Terminal,26,,,,,,,,
26,,Makadara,Kariobangi,24,,,,Otc,Drepeja Route,medium,,
28,,Gikomba Market Terminals,Kariobangi Terminal,13,,,,Commercial | Fig Tree | Gikomba | Muthurwa | Otc,"Neema Agency, 8B, FIG Prestige Management Company, Jesmat Co-oprative",high,,
30,,Odeon Terminus,Ndumbuini Terminus,26,,,,Bus Station | Fig Tree | Knh | Odeon | Railways,"Kangemi, Killeton Commuters Services Savings AND Credit Cooperative, Latema Sacco, Cosy Travel",high,,
3N,,Ngara,Gikomba,9,,,,Fig Tree | Gikomba | Otc,"Huruma Mini-bus, Jesmat Co-oprative, Jonsaga Flats",medium,,
3U,,Dagoretti Corner Stage,Uthiru Pentecostal,19,,,,Kencom | Otc,Salty Bizada Investment,medium,,
41,,Gikomba,Dandora Terminal,26,,,,,,,,
42,,Terminal,Dandora Terminal,19,,,,,,,,
53,,Roasters,Maruirui,8,,,,,,,,
56,,Railways,Kanungaga/56 Mwisho,23,,,,Railways,"Garamu Travel Solutions, Fastrack United AND Credit",medium,,
69,,Muthurwa,Gm Mwisho,18,,,,Commercial | Fig Tree | Gikomba | Knh | Muthurwa | Otc | Railways,"Geobeat Maoka, Indima (nje), Kibera Bureti, Ngumo-line",high,,
6E,,Church Army,Joster,7,,,,,,,,
7C,,Kencom,Kenyatta Hospital Stage,6,,,,,,,,
103,,Dagoretti Corner Stage,Wangige Stage,45,,,,Kencom | Knh | Odeon | Otc,"2KW, Wakimali CO, Salty Bizada Investment, Super Metro",high,,
105,,Kikuyu Terminus,Odeon Terminus,37,,,,Bus Station | Fig Tree | Knh | Odeon | Railways,"2KR, Kangemi, Killeton Commuters Services Savings AND Credit Cooperative, Latema Sacco",high,,
106,,Koja/Nation Centre,Banana Terminus,42,,,,Bus Station | Commercial | Fig Tree | Kencom | Knh | Odeon | Otc,"Lopha, Risen Company, KBS, Killeton Commuters Services Savings AND Credit Cooperative",high,,
107,,Odeon,Karura Mwisho,41,,,,Commercial | Fig Tree | Odeon,"Lopha, Runka Services, Killeton Commuters Services Savings AND Credit Cooperative, Manmo",high,,
108,,Poland Embassy,Gasolina/Gichagi Mwisho,14,,,,,,,,
115,,Koja,Limuru Town Terminal,42,,,,Bus Station | Fig Tree | Koja | Odeon | Railways,"Latema Sacco, Bybuss Trans, Digital Luxury, Kangemi",high,,
116,,Koja,Limuru Terminus,49,,,,Bus Station | Commercial | Fig Tree | Koja | Odeon | Railways,"Lopha, Bybuss Trans, Karuri Commuters Services Savings AND Credit Co-opertaive Society, MNK Society",high,,
118,,Koja,Wangige Stage,27,,,,Bus Station | Commercial | Fig Tree | Kencom | Knh | Koja | Odeon | Otc | Railways,"Bybuss Trans, Home, Transworld Transport, Walokana",high,,
119,,Koja,Wangige Health Centre,30,,,,Bus Station | Commercial | Fig Tree | Kencom | Knh | Koja | Odeon | Otc | Railways,"Bybuss Trans, Home, Lopha, Transworld Transport",high,,
