pto_no,sacco,permit_id,route_hints,is_intercity,route_text,pto_name_raw
NTSA/RSN-0064,Chania,ADR-Q5LCLAM,,True,"nairobi, thika, flyover, nakuru",CHANIA TRAVELLERS SACCO
NTSA/RSN-0064,Chania,ADR-EPJSJ6A,,True,"thika, flyover, nakuru",CHANIA TRAVELLERS SACCO
NTSA/RSN-0064,Chania,ADR-2DVSB6R,,True,"nairobi, mwingi,thika,matuu, kitui",CHANIA TRAVELLERS SACCO
NTSA/RSN-0064,Chania,ADR-K9BFBOV,,True,"nairobi, nyeri, thika",CHANIA TRAVELLERS SACCO
NTSA/RSN-0064,Chania,ADR-7WRS2W2,,True,"nairobi, thika,nyeri, embu",CHANIA TRAVELLERS SACCO
NTSA/RSN-0064,Chania,ADR-BQ9SZE5,,True,"nairobi, nyeri,thika road, thika",CHANIA TRAVELLERS SACCO
NTSA/RSN-0064,Chania,ADR-REOSOMB,,True,"nairobi, mwingi,thika, matuu",CHANIA TRAVELLERS SACCO
NTSA/RSN-0064,Chania,ADR-MDMSM85,,True,"thika, nakuru, flyover",CHANIA TRAVELLERS SACCO
NTSA/RSN-0064,Chania,ADR-YM3SLQD,,True,"nairobi, meru, embu",CHANIA TRAVELLERS SACCO
NTSA/RSN-0064,Chania,ADR-8LMSOPW,,True,"nairobi, thika, nyeri, nyahururu, nakuru",CHANIA TRAVELLERS SACCO
NTSA/RSN-0064,Chania,ADR-ZZJSZDW,,True,"nairobi, nakuru, nyeri",CHANIA TRAVELLERS SACCO
NTSA/RSN-041811,Chelsea,NTR-00202211011801400,44,False,"Commercial, Bus Station Thika Rd Zimmerman Githurai 44 Kahawa West Ruiru Ruaka Limuru Juja, Juja Farm",CHELSEA TRANSPORTERS LIMITED
NTSA/RSN-041811,Chelsea,NTR-00202211071700350,44,False,"Commercial, Bus Station Thika Rd Zimmerman Githurai 44 Northern Bypass Ruiru Ruaka Kikuyu via Waiyaki Way Limuru Juja, Juja Farm",CHELSEA TRANSPORTERS LIMITED
