stage_id,name,lat,lon,corridor,routes,aliases,nearby_osm_name
0410BBP,Buru Buru Police Post,-1.279672,36.878203,,36,,Umoja/ Mutindwa
0401BPR,Buruburu 1 Primary School,-1.275435,36.877440,,26 26S 23KS,,
0401BPF,Buruburu Phase 5 Favourites,-1.294030,36.879930,,36 58,Buruburu Phase 5 Stage | Npc Buruburu,Umoja/ Mutindwa
0401BPH,Buruburu Phase One,-1.272791,36.877474,,26 36 26S 23KS,Phase 1 Stage | Raphael,
0400BRB,Buruburu Roundabout,-1.277372,36.877340,,26 26S 23KS,,
0512BST,Bus Station,-1.287281,36.828863,thika_road,11 15 16 43 12C 12D 14A 14B 17B 34B 34J 11_2 16/62 19Cjk 33MKR,Bus Station Terminal,Blue Line Shuttle
0401BSA,Busia,-1.310628,36.848034,,69,,
0411BPS,By Pass,-1.264119,36.983196,,33H 145B 3738 38/39,,
0211BYP,By Pass,-1.164406,36.956953,thika_road,145 237 145B,Kihunguro,Membley/ Gitambaya
0210BYP,By Pass,-1.167324,36.955388,thika_road,145 237,,
0411BYP,By Pass,-1.256696,36.985723,,145B,,
0801BYS,By-Pass,-1.235190,36.778266,,119A,,
0800BYP,Bypass,-1.247410,36.779040,,118 119,,Loresho
0101BKH,Bypass Stage Kiambu,-1.215448,36.835210,kiambu_road,100 120 121 100A 107D,Kwaheri Flyover,
0513CAB,Cabanas,-1.331307,36.888246,,110 33B 33H 33J 33TP 33FED 33UTW 110ATH,Carbanas,Cabanas Bus Stop
0400CBN,Cabanas,-1.330018,36.890475,,33C 33DC,,Cabanas Bus Stop
0500CLX,Caltex,-1.395860,36.737801,,126 126RK,,
0401CLX,Caltex,-1.278327,36.882877,,17A 04SK 19C2 17Aky 19Cdc 38/39,,Umoja/ Mutindwa
0401CLT,Caltex,-1.300826,36.887514,,33C 34B 34J 33DC 33DP 33TP 1961K 19Cjk 33FED 33GTB 1961Kd,,
0201CAL,Caltexdn,-1.268018,36.833628,,6 11C,,
0401CLV,Calvary,-1.264600,36.916850,,17A 1960 19C2 17Aky 19Cdc 19Cjk,Step 1,Step 1
0500CAM,Cambridge,-1.363635,36.765271,,125 126,,
0511CPC,Capital Centre,-1.316765,36.833987,,110 12C 12D 33B 33TP 33FED 33IMR 33MKR 33UTW 110ATH,,Mash Bus services
0411CGR,Car  & General,-1.301950,36.832430,,11 405 11_2,Car  &General | Car & General,
0411MCW,Car Wash,-1.290170,36.893470,,1960,Manyanja Road Car Wash,
0201CAR,Car Wash,-1.201003,36.898857,thika_road,44G 44K 44Z,Eden Supermarket | Gakena Supermarket,Githurai 44 Stage
0501CRW,Car Wash,-1.308617,36.915672,,33B,,75
0411CRG,Cargo,-1.336124,36.916187,,34J,,
0510CAN,Carnivore/Rafikiz,-1.323061,36.802046,,15 24 125 126 24C 34L,Carnivore/Uchumi Hyper | Uchumi/Carnivore,
0701CWH,Carwash,-1.350291,36.659713,,111,Zambia,Zambia
0700CWH,Carwash,-1.352561,36.658285,,111,Coutry Club | Sportman | Venessa,Elpaso
0401CWS,Carwash,-1.309150,36.901952,,33GTB,Gate B,Kwa Ndege Matatu Stage
0400CST,Cathsam,-1.284590,36.893940,,35/60,Grand Supermaket | Nabuto,
0800CCK,Cck,-1.263860,36.757800,,30 105 115 135 114W 23KG,Kianda School,Kianda Stage
0501CEM,Cemastea,-1.353903,36.713090,,24 24C,Karen Blixen,
0401CNK,Centy Club,-1.233479,36.990048,,145B,,
0611CKA,Chaka Place,-1.293120,36.791316,,5 56 46K 46Y,,Bus Stop
0100CHL,Chantilly School,-1.181032,36.762044,,106 116,Victory | Victory Inn,ACK Thibigwa
0410CRN,Charina,-1.276920,36.887850,,17A 17Aky 35/60 3560_2,H | Umoja Junction,Kariobangi South
0401CMT,Chemist,-1.319230,36.897193,,33C 34J 33DC 33DP 33TP 33FED,Spinners,Taj Mall
0700CKK,Chemist/Kwa Maji/Kaberia,-1.290562,36.728944,,4W,,Kibiria
0501CHF,Chiefs,-1.326560,36.780270,,15 34L,Kwa Chief | Stage,
0200CHF,Chiefs Office,-1.201788,36.897735,thika_road,44G 44K 44Z,,Githurai 44 Stage
