route_id,direction,sequence,stage_id
80400003011,in,12,0810STM
80400003011,in,13,0800GPR
80400003011,in,14,0810WST
80400003011,in,15,0800EDS
80400003011,in,16,0800CHR
80400003011,in,17,0800MUS
80400003011,in,18,0810MCP
80400003011,in,19,0812ODE
40601003611,out,0,0412CSD
40601003611,out,1,0411SMY
40601003611,out,2,0411MZW
40601003611,out,3,0401RKN
40601003611,out,4,0411CAR
40601003611,out,5,0411PST
40601003611,out,6,0401UJR
40601003611,out,7,0411HMZ
40601003611,out,8,0411BPF
40601003611,out,9,0401BPF
40601003611,out,10,0401NPC
40601003611,out,11,0411PFJ
40601003611,out,12,0401BFA
40601003611,out,13,0411PFS
40601003611,out,14,0401UCB
40601003611,out,15,0401TSK
40601003611,out,16,0403MTW
40601003611,out,17,0401KNL
40601003611,out,18,0401KNB
40601003611,out,19,0401BPH
40601003611,out,20,0401SOS
40601003611,out,21,0401KOB
40601003611,out,22,0401ACC
40601003611,out,23,0401SIX
40601003611,out,24,0401TSX
40601003611,out,25,0311RIS
40601003611,out,26,0311SEN
40601003611,out,27,0311TOT
40601003611,out,28,0301AIC
40601003611,out,29,0311NNE
40601003611,out,30,0311DIZ
40601003611,out,31,0311FTY
40601003611,out,32,0311CIN
40601003611,out,33,0311BET
40601003611,out,34,0311JUA
40601003611,out,35,0311JER
40601003611,out,36,0313DDS
40601003611,in,0,0313DDS
40601003611,in,1,0300FTY
40601003611,in,2,0300DSC
40601003611,in,3,0310EQT
40601003611,in,4,0300BPS
40601003611,in,5,0310DUN
40601003611,in,6,0310TOT
40601003611,in,7,0310SEN
40601003611,in,8,0310RIS
40601003611,in,9,0400TSX
40601003611,in,10,0300MUT
40601003611,in,11,0400SIX
40601003611,in,12,0410PCA
40601003611,in,13,0410KOB
40601003611,in,14,0400TMW
40601003611,in,15,0410BBP
40601003611,in,16,0400MTW
40601003611,in,17,0400UCB
40601003611,in,18,0400PFS
40601003611,in,19,0400BFA
40601003611,in,20,0410PFJ
40601003611,in,21,0400NPC
40601003611,in,22,0410BPF
40601003611,in,23,0410NCK
40601003611,in,24,0410HMZ
40601003611,in,25,0400TJR
40601003611,in,26,0410MKD
40601003611,in,27,0410DCJ
40601003611,in,28,0400UJR
40601003611,in,29,0410PST
40601003611,in,30,0412CAR
40601003611,in,31,0400MKG
40601003611,in,32,0400MZW
40601003611,in,33,0410KLL
40601003611,in,34,0412CSD
30007004111,out,0,0212GBT
30007004111,out,1,0210PMS
30007004111,out,2,0301MAP
30007004111,out,3,0301BHS
30007004111,out,4,0311AGP
30007004111,out,5,0311TEN
30007004111,out,6,0311THY
30007004111,out,7,0311CHF
30007004111,out,8,0301BAS
30007004111,out,9,0301FLT
30007004111,out,10,0311JSG
30007004111,out,11,0302RND
30007004111,out,12,0311SOK
30007004111,out,13,0311BAO
30007004111,out,14,0311RIS
30007004111,out,15,0311SEN
30007004111,out,16,0311TOT
30007004111,out,17,0301AIC
30007004111,out,18,0311NNE
30007004111,out,19,0311DIZ
30007004111,out,20,0311FTY
30007004111,out,21,0311CIN
30007004111,out,22,0311BET
30007004111,out,23,0311JUA
30007004111,out,24,0311JER
30007004111,out,25,0313DDS
30007004111,in,0,0313DDS
30007004111,in,1,0300FTY
