stage_id,name,lat,lon,kind
osm:3519605677,Santack stage,-1.302786,36.750565,bus_stop
osm:13081656251,Santos Stage,-1.266819,36.949577,platform
osm:7068668931,Satellite,-1.298582,36.745381,station
osm:7174143603,School,-1.260413,36.771037,platform
osm:7174143604,School,-1.259677,36.770911,platform
osm:6063345642,SENIOURS STAGE,-1.260171,36.890599,platform
osm:10844057359,Shakers/Rosslyn Gate,-1.211150,36.790240,platform
osm:10832126008,Shell Banana Bus stop,-1.175814,36.759507,platform
osm:4548730892,Simba Booking Office,-1.283302,36.828617,bus_station
osm:5886553887,Sir Henry,-1.279871,37.050275,bus_stop
osm:7174126759,Sodom,-1.263991,36.751098,platform
osm:7174126760,Sodom,-1.264336,36.753092,platform
osm:8050414672,Soko Mjinga,-1.282955,36.747142,bus_station
osm:5552396287,Sony Classic,-1.283721,36.825351,bus_station
osm:5636724257,Soweto,-1.281470,36.914816,station
osm:8050414675,St Francis,-1.287123,36.753375,bus_stop
osm:5743474196,Stage,-1.213037,36.893115,platform
osm:8050437494,Stage,-1.275607,36.756787,bus_station
osm:8050414676,Stage 2,-1.282327,36.752333,bus_stop
osm:8050437490,Stage 2,-1.276434,36.759317,bus_station
osm:1038219189,Stage 24,-1.250527,36.874027,bus_station
osm:1038219160,Stage 29/30,-1.252330,36.867132,bus_station
osm:1038219188,Stage 30,-1.254811,36.866717,bus_station
osm:8050414663,Stage Two,-1.284965,36.754433,bus_station
osm:12886264366,Stage ya Soko,-1.197232,36.902002,bus_stop
osm:5552492026,Star Bus Sacco,-1.282117,36.825310,bus_station
osm:4740212823,Step 1,-1.264978,36.916660,bus_stop
osm:10832093294,Stima Plaza,-1.272612,36.821001,platform
